z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.248107,0.250742,0.169697,-0.000960,0.056181,-0.076949,0.106412
0.248151,0.250786,0.169697,-0.001344,0.056244,-0.076663,0.071228
0.248258,0.250941,0.190909,-0.002496,0.056343,-0.032610,0.035185
0.248483,0.251166,0.274242,-0.005760,0.056606,-0.015733,0.016591
0.249017,0.251651,0.274242,-0.009599,0.057048,-0.000286,0.016591
0.249457,0.252092,0.328788,-0.005184,0.057402,0.040620,-0.041478
0.249761,0.252539,0.393939,-0.008447,0.057739,0.061216,-0.037187
0.250398,0.253417,0.468182,-0.011711,0.058310,0.066365,-0.045483
0.251359,0.254761,0.468182,-0.006720,0.059170,0.103838,-0.087819
0.252421,0.256015,0.546970,-0.016511,0.059791,0.075804,-0.172491
0.253681,0.257370,0.616667,-0.023614,0.060516,0.118427,-0.205101
0.255036,0.258438,0.616667,-0.044541,0.061105,0.217687,-0.238855
0.259155,0.261023,0.666667,-0.047037,0.062250,0.156186,-0.149893
0.264108,0.263675,0.700000,-0.071035,0.062838,0.158188,-0.154755
0.269541,0.268532,0.721212,-0.076219,0.062403,0.102121,-0.106412
0.275728,0.273426,0.721212,-0.101177,0.061226,0.155900,-0.186508
0.282963,0.281331,0.736364,-0.098873,0.061202,0.112133,-0.114422
0.290892,0.290747,0.750000,-0.100409,0.061836,0.068653,-0.044624
0.298386,0.299247,0.750000,-0.100793,0.062049,0.031180,-0.051490
0.306725,0.307634,0.765152,-0.097529,0.063053,0.028319,0.014875
0.314918,0.316498,0.780303,-0.098681,0.065190,-0.013445,0.034327
0.323376,0.326155,0.798485,-0.081978,0.068576,-0.060644,0.099833
0.331486,0.335320,0.798485,-0.058940,0.071819,-0.166484,0.167914
0.338582,0.342895,0.819697,-0.052220,0.074252,-0.147604,0.179928
0.344835,0.350298,0.851515,-0.014015,0.076277,-0.147890,0.161335
0.350521,0.356080,0.851515,0.014975,0.078114,-0.185363,0.199952
0.355059,0.361242,0.883333,0.035901,0.080531,-0.196805,0.184505
0.361117,0.366196,0.904545,0.034941,0.085049,-0.263742,0.263456
0.366979,0.371723,0.918182,0.056252,0.090640,-0.316948,0.340405
0.371489,0.376377,0.918182,0.089274,0.095176,-0.326960,0.294922
0.375305,0.380240,0.925758,0.103289,0.098996,-0.309797,0.311799
0.379423,0.384358,0.928788,0.117304,0.103079,-0.387318,0.316376
0.383479,0.388176,0.928788,0.125367,0.107064,-0.423647,0.400190
0.387430,0.391934,0.925758,0.148981,0.110868,-0.436519,0.415351
0.391898,0.395827,0.918182,0.161844,0.114742,-0.479141,0.456829
0.395028,0.398430,0.906061,0.181619,0.117220,-0.458545,0.433087
0.396039,0.399632,0.906061,0.191218,0.118267,-0.482574,0.357854
0.396933,0.400623,0.889394,0.208113,0.119221,-0.468557,0.405053
0.397673,0.401315,0.874242,0.225776,0.119935,-0.495732,0.406769
0.397562,0.401012,0.874242,0.234991,0.119709,-0.490870,0.407914
0.396777,0.400035,0.862121,0.248238,0.118691,-0.468271,0.378450
0.396005,0.398976,0.851515,0.276844,0.117719,-0.437091,0.372729
0.394619,0.397494,0.840909,0.307370,0.116213,-0.428224,0.411346
0.392526,0.395353,0.840909,0.317929,0.114070,-0.439094,0.351275
0.389724,0.392647,0.836364,0.329448,0.111338,-0.427938,0.267175
0.386531,0.389645,0.821212,0.359206,0.108255,-0.430512,0.296639
0.382888,0.386194,0.821212,0.364390,0.104840,-0.344696,0.304648
0.378981,0.382622,0.809091,0.389732,0.101282,-0.405053,0.333254
0.374632,0.378944,0.803030,0.390116,0.097629,-0.355566,0.324100
0.369941,0.374925,0.798485,0.398947,0.093638,-0.368152,0.211108
0.365011,0.370570,0.798485,0.409507,0.089438,-0.355566,0.268605
0.360374,0.366892,0.793939,0.428321,0.085844,-0.262312,0.308367
0.355920,0.362821,0.786364,0.440416,0.081730,-0.318093,0.242002
0.351166,0.358834,0.786364,0.447904,0.077832,-0.331251,0.238855
0.346730,0.355501,0.772727,0.452704,0.074470,-0.335828,0.279475
0.343363,0.352518,0.750000,0.469598,0.071911,-0.290345,0.273182
0.341232,0.349571,0.721212,0.481309,0.069706,-0.297783,0.389320
0.338545,0.345830,0.721212,0.479582,0.067016,-0.344982,0.264600
0.335750,0.343083,0.686364,0.494940,0.064951,-0.420786,0.354135
0.332934,0.339548,0.642424,0.495324,0.062120,-0.418784,0.274326
0.330250,0.335569,0.642424,0.512219,0.059551,-0.367008,0.314946
0.327656,0.331776,0.590909,0.508955,0.057115,-0.408772,0.318379
0.324562,0.327196,0.521212,0.537945,0.054183,-0.396472,0.319237
0.320946,0.322719,0.430303,0.551192,0.051026,-0.369010,0.325816
0.317134,0.318331,0.430303,0.572503,0.047961,-0.370727,0.264028
0.312420,0.313569,0.296970,0.587286,0.045150,-0.513468,0.279761
0.306810,0.306521,0.184848,0.614164,0.041692,-0.524624,0.510607
0.299736,0.298488,0.184848,0.646034,0.038740,-0.458545,0.385029
0.291263,0.290159,0.113636,0.672912,0.036915,-0.528343,0.506603
0.281662,0.279408,0.068182,0.701902,0.034719,-0.516900,0.308081
0.271806,0.267011,0.037879,0.726092,0.032657,-0.469701,0.345840
0.260853,0.254859,0.037879,0.752394,0.031741,-0.445387,0.328391
0.249003,0.242578,0.016667,0.762953,0.031218,-0.457973,0.351275
0.236756,0.228509,0.003030,0.772937,0.030056,-0.246293,0.146460
0.224064,0.214475,0.003030,0.776968,0.028476,-0.377592,0.163337
0.211652,0.200960,0.000000,0.782344,0.025881,-0.157902,0.160763
0.199311,0.186510,0.000000,0.781768,0.022593,-0.195089,0.034040
0.187872,0.174496,0.000000,0.753738,0.019513,-0.147604,0.008010
0.177818,0.162812,0.000000,0.736075,0.015818,-0.097831,-0.016877
0.168846,0.152162,0.000000,0.722060,0.011608,-0.108415,-0.071514
0.160639,0.143956,0.000000,0.680975,0.006723,-0.078093,-0.093540
0.153593,0.136574,0.000000,0.656593,0.000046,0.030322,-0.084958
0.148382,0.130836,0.000000,0.632019,-0.005255,0.013159,-0.191370
0.144279,0.126588,0.000000,0.573847,-0.009429,0.044624,-0.143027
0.141839,0.124053,0.000000,0.547737,-0.011915,0.022598,-0.138164
0.141393,0.123894,0.000000,0.532762,-0.012158,0.001144,-0.025459
0.143294,0.125604,0.000000,0.510107,-0.010254,-0.069225,-0.027747
0.144982,0.127483,0.000000,0.495324,-0.008416,-0.121287,0.011728
0.146845,0.129203,0.000000,0.476894,-0.006686,-0.146174,-0.068367
0.149004,0.131410,0.000000,0.475742,-0.004428,-0.132443,0.006007
0.151397,0.133850,0.000000,0.458847,-0.002053,-0.146746,0.027747
0.154339,0.136696,0.000000,0.455583,0.000829,-0.164767,0.017163
0.157180,0.139441,0.000000,0.445984,0.003644,-0.199094,0.039189
0.160108,0.142321,0.018182,0.446368,0.006495,-0.140167,0.112992
0.162752,0.145013,0.050000,0.443104,0.009178,-0.173635,0.028605
0.165670,0.147931,0.050000,0.427169,0.012125,-0.177926,-0.007437
0.168755,0.151064,0.086364,0.431393,0.015193,-0.191943,0.077521
0.171611,0.154016,0.131818,0.430241,0.018049,-0.139309,0.050346
0.174474,0.156831,0.184848,0.418146,0.020876,-0.177068,0.058069
0.177706,0.160063,0.184848,0.406627,0.024098,-0.159618,0.054064
0.181131,0.163297,0.245455,0.406243,0.027407,-0.131013,0.011442
0.184862,0.166979,0.312121,0.403747,0.031018,-0.108415,-0.020024
0.189078,0.171196,0.312121,0.388004,0.035146,-0.153325,-0.031752
0.193739,0.175905,0.383333,0.375717,0.039667,-0.141597,0.027461
0.198688,0.181477,0.454545,0.364006,0.044349,-0.075804,-0.000572
0.203923,0.187958,0.521212,0.359590,0.048597,-0.201668,0.002574
0.210061,0.193856,0.521212,0.352871,0.052760,-0.104124,-0.009440
0.217087,0.200019,0.583333,0.332712,0.057575,-0.091537,0.005435
0.224915,0.207463,0.640909,0.333096,0.063587,-0.127008,0.035185
0.232334,0.215697,0.640909,0.327912,0.069582,-0.174779,0.056067
0.240634,0.223135,0.698485,0.315241,0.075294,-0.179356,0.024315
0.250293,0.231691,0.754545,0.317161,0.081121,-0.261168,0.138164
0.259082,0.239617,0.812121,0.311402,0.085630,-0.211394,0.108415
0.267049,0.249215,0.812121,0.323305,0.089841,-0.224267,0.156472
0.275020,0.259630,0.862121,0.312554,0.094287,-0.248581,0.167342
0.283745,0.269266,0.904545,0.321385,0.098016,-0.226269,0.072086
