z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.003024,0.018667,0.023276,0.071181,0.246051,0.170496,0.245832,0.170775
0.002322,0.016249,0.023604,0.071081,0.245930,0.170468,0.245842,0.170775
0.002022,0.013602,0.023663,0.071063,0.245842,0.170378,0.245842,0.170755
0.001990,0.011694,0.024029,0.070942,0.245727,0.170373,0.245842,0.170765
0.002417,0.010098,0.024266,0.070880,0.245652,0.170346,0.245842,0.170724
0.003413,0.007966,0.023861,0.070992,0.245651,0.170217,0.245842,0.170704
0.004690,0.005777,0.023796,0.071025,0.245609,0.170130,0.245842,0.170704
0.005794,0.003831,0.024151,0.070905,0.245497,0.170127,0.245842,0.170704
0.006817,0.001600,0.023827,0.070959,0.245466,0.170030,0.245832,0.170704
0.007519,-0.000603,0.023379,0.071092,0.245477,0.169894,0.245832,0.170704
0.007784,-0.002777,0.023510,0.071060,0.245408,0.169844,0.245832,0.170704
0.007892,-0.004831,0.023769,0.070960,0.245307,0.169831,0.245832,0.170704
0.007999,-0.006330,0.023827,0.070924,0.245251,0.169802,0.245832,0.170704
0.008164,-0.007662,0.023686,0.070949,0.245235,0.169751,0.245821,0.170704
0.008894,-0.009043,0.023641,0.070958,0.245208,0.169705,0.245821,0.170704
0.009845,-0.009671,0.024039,0.070838,0.245132,0.169744,0.245811,0.170704
0.011043,-0.009546,0.024390,0.070722,0.245076,0.169804,0.245821,0.170704
0.012168,-0.007982,0.024030,0.070843,0.245168,0.169793,0.245821,0.170704
0.012818,-0.005511,0.024046,0.070889,0.245247,0.169844,0.245832,0.170684
0.012794,-0.003185,0.024174,0.070909,0.245313,0.169915,0.245832,0.170663
0.012099,-0.000791,0.024742,0.070801,0.245317,0.170056,0.245832,0.170633
0.010817,0.002131,0.025491,0.070690,0.245333,0.170215,0.245832,0.170541
0.009314,0.004985,0.025641,0.070736,0.245431,0.170297,0.245821,0.170450
0.007927,0.008025,0.025679,0.070773,0.245532,0.170382,0.245811,0.170419
0.006753,0.011434,0.025891,0.070731,0.245604,0.170516,0.245811,0.170419
0.005704,0.014239,0.026137,0.070720,0.245680,0.170624,0.245811,0.170369
0.004886,0.016220,0.026037,0.070883,0.245821,0.170629,0.245811,0.170257
0.004139,0.017830,0.026522,0.070995,0.245925,0.170664,0.245811,0.170064
0.003152,0.019769,0.027446,0.070845,0.245905,0.170824,0.245811,0.169952
