z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.666803,-0.021550,-0.001000,-0.001274,0.102422,0.103959,0.109924,0.113227
0.666820,-0.021519,-0.001000,-0.001275,0.102422,0.103961,0.109924,0.113227
0.666822,-0.021530,-0.001038,-0.001266,0.102426,0.103956,0.109924,0.113227
0.666801,-0.021497,-0.001034,-0.001264,0.102428,0.103956,0.109924,0.113227
0.666788,-0.021513,-0.000990,-0.001273,0.102423,0.103960,0.109924,0.113227
0.666784,-0.021506,-0.001004,-0.001273,0.102423,0.103960,0.109924,0.113227
0.666763,-0.021513,-0.001000,-0.001277,0.102421,0.103962,0.109924,0.113227
0.666751,-0.021551,-0.001014,-0.001273,0.102423,0.103959,0.109924,0.113227
0.666733,-0.021534,-0.001057,-0.001260,0.102429,0.103952,0.109924,0.113227
0.666740,-0.021542,-0.000999,-0.001274,0.102422,0.103959,0.109924,0.113227
0.666794,-0.021557,-0.001031,-0.001265,0.102426,0.103954,0.109924,0.113227
0.666770,-0.021532,-0.001063,-0.001260,0.102429,0.103952,0.109924,0.113227
0.666766,-0.021549,-0.001111,-0.001242,0.102438,0.103943,0.109924,0.113227
0.666794,-0.021512,-0.001114,-0.001250,0.102435,0.103948,0.109924,0.113227
0.666787,-0.021512,-0.001100,-0.001248,0.102436,0.103947,0.109924,0.113227
0.666765,-0.021497,-0.001057,-0.001254,0.102434,0.103950,0.109924,0.113227
0.666774,-0.021492,-0.001094,-0.001252,0.102434,0.103949,0.109924,0.113227
0.666741,-0.021505,-0.001091,-0.001252,0.102435,0.103949,0.109924,0.113227
0.666746,-0.021488,-0.001060,-0.001259,0.102431,0.103954,0.109924,0.113227
0.666708,-0.021479,-0.001055,-0.001258,0.102432,0.103953,0.109924,0.113227
0.666726,-0.021505,-0.001067,-0.001259,0.102431,0.103953,0.109924,0.113227
0.666749,-0.021570,-0.001095,-0.001247,0.102436,0.103945,0.109924,0.113227
0.666711,-0.021538,-0.001122,-0.001241,0.102439,0.103942,0.109924,0.113227
0.666721,-0.021518,-0.001098,-0.001247,0.102437,0.103947,0.109924,0.113227
0.666716,-0.021535,-0.001081,-0.001251,0.102434,0.103948,0.109924,0.113227
0.666698,-0.021564,-0.001053,-0.001258,0.102430,0.103951,0.109924,0.113227
0.666686,-0.021544,-0.001137,-0.001240,0.102439,0.103942,0.109924,0.113227
0.666673,-0.021529,-0.001119,-0.001244,0.102438,0.103944,0.109924,0.113227
0.666679,-0.021554,-0.001088,-0.001251,0.102434,0.103948,0.109924,0.113227
0.666675,-0.021588,-0.001127,-0.001240,0.102438,0.103941,0.109924,0.113227
0.666637,-0.021565,-0.001183,-0.001227,0.102446,0.103935,0.109924,0.113227
0.666639,-0.021578,-0.001169,-0.001226,0.102446,0.103934,0.109924,0.113227
0.666668,-0.021580,-0.001178,-0.001225,0.102446,0.103933,0.109924,0.113227
0.666665,-0.021589,-0.001146,-0.001231,0.102443,0.103936,0.109924,0.113227
0.666659,-0.021593,-0.001167,-0.001227,0.102445,0.103934,0.109924,0.113227
0.666627,-0.021588,-0.001159,-0.001231,0.102443,0.103936,0.109924,0.113227
0.666598,-0.021564,-0.001182,-0.001223,0.102448,0.103932,0.109924,0.113227
0.666611,-0.021564,-0.001201,-0.001221,0.102449,0.103932,0.109924,0.113227
0.666566,-0.021568,-0.001174,-0.001226,0.102446,0.103934,0.109924,0.113227
0.666546,-0.021572,-0.001156,-0.001235,0.102442,0.103939,0.109924,0.113227
0.666512,-0.021569,-0.001185,-0.001230,0.102444,0.103936,0.109924,0.113227
0.666498,-0.021537,-0.001167,-0.001227,0.102446,0.103935,0.109924,0.113227
0.666505,-0.021529,-0.001157,-0.001234,0.102443,0.103939,0.109924,0.113227
0.666504,-0.021555,-0.001147,-0.001232,0.102444,0.103938,0.109924,0.113227
0.666481,-0.021562,-0.001149,-0.001233,0.102442,0.103937,0.109924,0.113227
0.666464,-0.021572,-0.001161,-0.001235,0.102442,0.103939,0.109924,0.113227
0.666411,-0.021545,-0.001162,-0.001229,0.102445,0.103936,0.109924,0.113227
0.666390,-0.021579,-0.001144,-0.001236,0.102441,0.103939,0.109924,0.113227
0.666407,-0.021570,-0.001154,-0.001229,0.102445,0.103936,0.109924,0.113227
0.666381,-0.021575,-0.001127,-0.001238,0.102440,0.103940,0.109924,0.113227
0.666424,-0.021572,-0.001190,-0.001223,0.102448,0.103932,0.109924,0.113227
0.666401,-0.021598,-0.001207,-0.001219,0.102449,0.103929,0.109924,0.113227
0.666391,-0.021595,-0.001170,-0.001232,0.102443,0.103936,0.109924,0.113227
0.666383,-0.021630,-0.001159,-0.001232,0.102441,0.103936,0.109924,0.113227
0.666359,-0.021636,-0.001164,-0.001228,0.102443,0.103933,0.109924,0.113227
0.666361,-0.021673,-0.001159,-0.001227,0.102443,0.103932,0.109924,0.113227
0.666342,-0.021678,-0.001175,-0.001227,0.102443,0.103932,0.109924,0.113227
0.666317,-0.021683,-0.001185,-0.001222,0.102446,0.103929,0.109924,0.113227
0.666320,-0.021701,-0.001191,-0.001221,0.102446,0.103928,0.109924,0.113227
0.666346,-0.021698,-0.001196,-0.001218,0.102447,0.103926,0.109924,0.113227
0.666330,-0.021681,-0.001215,-0.001218,0.102447,0.103927,0.109924,0.113227
0.666299,-0.021700,-0.001197,-0.001222,0.102445,0.103928,0.109924,0.113227
0.666331,-0.021713,-0.001170,-0.001229,0.102441,0.103931,0.109924,0.113227
0.666348,-0.021742,-0.001119,-0.001238,0.102436,0.103936,0.109924,0.113227
0.666362,-0.021731,-0.001182,-0.001224,0.102443,0.103929,0.109924,0.113227
0.666332,-0.021726,-0.001186,-0.001223,0.102443,0.103928,0.109924,0.113227
0.666358,-0.021714,-0.001188,-0.001225,0.102443,0.103929,0.109924,0.113227
0.666334,-0.021706,-0.001253,-0.001207,0.102452,0.103920,0.109924,0.113227
0.666319,-0.021716,-0.001202,-0.001219,0.102446,0.103927,0.109924,0.113227
0.666340,-0.021755,-0.001217,-0.001214,0.102448,0.103923,0.109924,0.113227
0.666371,-0.021745,-0.001195,-0.001217,0.102446,0.103925,0.109924,0.113227
0.666343,-0.021694,-0.001188,-0.001218,0.102447,0.103926,0.109924,0.113227
0.666337,-0.021714,-0.001180,-0.001225,0.102442,0.103929,0.109924,0.113227
0.666353,-0.021732,-0.001192,-0.001220,0.102444,0.103926,0.109924,0.113227
0.666364,-0.021740,-0.001155,-0.001234,0.102438,0.103934,0.109924,0.113227
0.666371,-0.021716,-0.001104,-0.001243,0.102434,0.103939,0.109924,0.113227
0.666403,-0.021698,-0.001116,-0.001239,0.102436,0.103937,0.109924,0.113227
0.666362,-0.021683,-0.001111,-0.001245,0.102434,0.103941,0.109924,0.113227
0.666372,-0.021679,-0.001123,-0.001240,0.102436,0.103939,0.109924,0.113227
0.666403,-0.021666,-0.001086,-0.001252,0.102430,0.103945,0.109924,0.113227
0.666407,-0.021686,-0.001041,-0.001267,0.102422,0.103952,0.109924,0.113227
